,dataset_name,window_len_neuro_back,window_len_neuro_forward,window_len_vascu_back,poly_degree,aggregate_window,alpha,test_size,mse_train,mae_train,r2_train,mse_test,mae_test,r2_test
0,2021_02_01_neurovascular_datasets,1,0,0,,flatten,10.0,700,12.816494147887328,2.6237149100686885,0.11552179988379625,13.009697630634813,2.671206218404531,-0.1299439894303847
1,2021_02_01_neurovascular_datasets,1,0,0,,flatten,10.0,700,12.821127898819052,2.6258607750600946,0.113399497345775,12.976493757821403,2.6681514470104126,-0.12943024839286
2,2021_02_01_neurovascular_datasets,1,0,0,,flatten,10.0,700,12.840243770526513,2.6283940492343816,0.11186686291342147,12.956299332034092,2.6656763225849267,-0.1283895329330279
3,2021_02_01_neurovascular_datasets,1,0,0,,flatten,10.0,700,12.833671795416882,2.6288002178076364,0.11118774740250416,12.942420015036403,2.663308633171443,-0.127048508502905
4,2021_02_01_neurovascular_datasets,1,0,1,,flatten,10000.0,700,5.374008610019832,1.565705548977819,0.6311373798383191,7.606436696312359,1.9946305780165419,0.30922597591736756
5,2021_02_01_neurovascular_datasets,1,0,1,,flatten,10000.0,700,6.36119401402168,1.7404679138323609,0.5648884603008915,9.50834694382195,2.2385863511942143,0.15363745719752356
6,2021_02_01_neurovascular_datasets,1,0,1,,flatten,10000.0,700,6.94777870394673,1.8440960813566396,0.5241684689570998,10.765731338208928,2.3911040758851234,0.04946312393560612
7,2021_02_01_neurovascular_datasets,1,0,1,,flatten,10000.0,700,7.310848289336175,1.9087842218455138,0.4980081490962078,11.585750281811455,2.488308862704392,-0.01952904843285138
8,2021_02_01_neurovascular_datasets,1,0,3,,flatten,10000.0,700,3.8413620410481246,1.3431747962225034,0.7381571840652452,9.571517332693887,2.2776256906381382,0.12483326485310724
9,2021_02_01_neurovascular_datasets,1,0,3,,flatten,10000.0,700,4.312526493818429,1.4475979987445518,0.7068608311310853,11.846077938270795,2.530260230661926,-0.059335504268114486
10,2021_02_01_neurovascular_datasets,1,0,3,,flatten,10000.0,700,4.560596272143604,1.5034573091442087,0.6896904637657397,13.29610196280745,2.6833527762310734,-0.17727259528304506
11,2021_02_01_neurovascular_datasets,1,0,3,,flatten,10000.0,700,4.707290924998843,1.536700528619192,0.6790084302586762,14.190525738333017,2.776496713261984,-0.25313212873150476
12,2021_02_01_neurovascular_datasets,1,0,5,,flatten,10000.0,700,2.6381704658492655,1.1180863192432346,0.8221323059199294,11.756228176948863,2.5524211036008957,-0.07830991639613134
13,2021_02_01_neurovascular_datasets,1,0,5,,flatten,10000.0,700,2.829849367802763,1.1743732500943571,0.8092182281328251,14.109479424485036,2.7846554148696794,-0.26571793780423464
14,2021_02_01_neurovascular_datasets,1,0,5,,flatten,10000.0,700,2.922535848771575,1.201850834112352,0.8025947937852121,15.532433853601782,2.919859383381766,-0.38126414811541043
15,2021_02_01_neurovascular_datasets,1,0,5,,flatten,10000.0,700,2.9774199474869665,1.2181191409714598,0.7985514010047391,16.432364773723773,3.004269816807614,-0.45491904135561895
16,2021_02_01_neurovascular_datasets,1,0,7,,flatten,10000.0,700,1.804628794471184,0.9192615838885018,0.879490791406522,13.432895279338734,2.7415539998063814,-0.2431869137493882
17,2021_02_01_neurovascular_datasets,1,0,7,,flatten,10000.0,700,1.8665538049390231,0.9458929948381382,0.8750808865499996,15.6181481012841,2.939928125428466,-0.40744268712262555
18,2021_02_01_neurovascular_datasets,1,0,7,,flatten,10000.0,700,1.8918997792902335,0.9575123761639723,0.8731130571890997,16.883314053801524,3.05248432421335,-0.5031425743536205
19,2021_02_01_neurovascular_datasets,1,0,7,,flatten,10000.0,700,1.907215390507276,0.9643996595706367,0.8719290760207006,17.63491105387112,3.120039437969208,-0.562013098514658
20,2021_02_01_neurovascular_datasets,1,0,9,,flatten,10000.0,700,1.2722147288022057,0.7654766872771921,0.9155518540511699,14.452067429945002,2.8445356540534497,-0.32983706183657563
21,2021_02_01_neurovascular_datasets,1,0,9,,flatten,10000.0,700,1.286157416493804,0.7768681020161469,0.9144118152074223,16.23605719752589,3.0038424697955604,-0.4666495723131376
22,2021_02_01_neurovascular_datasets,1,0,9,,flatten,10000.0,700,1.291942658513092,0.7815507518504783,0.9139313888951416,17.16336314409663,3.0879530830035176,-0.5397395962371441
23,2021_02_01_neurovascular_datasets,1,0,9,,flatten,10000.0,700,1.2964305350181924,0.784398276877187,0.9136209287760975,17.728640586685888,3.1383585064898263,-0.5819907097970952
24,2021_02_01_neurovascular_datasets,1,0,11,,flatten,10000.0,700,0.9390482966746334,0.6521976949900614,0.9380074536124916,14.869182723370995,2.8847006984305197,-0.35929436641940293
25,2021_02_01_neurovascular_datasets,1,0,11,,flatten,10000.0,700,0.9388829109723136,0.656689935019997,0.9378851782784791,16.292988503844082,3.0120441398704325,-0.4691250733067295
26,2021_02_01_neurovascular_datasets,1,0,11,,flatten,10000.0,700,0.9389195700604765,0.6583316039703951,0.9378589662430691,16.974572758731618,3.0753578451904433,-0.5250505669543453
27,2021_02_01_neurovascular_datasets,1,0,11,,flatten,10000.0,700,0.9394081666244871,0.6593583329514207,0.9378196804198622,17.358500386324778,3.1107701757279806,-0.5566440806170561
28,2021_02_01_neurovascular_datasets,1,0,13,,flatten,10000.0,700,0.7214531164572269,0.5673278040495027,0.9525749121164551,14.987650593556458,2.894238692050106,-0.3603353154570618
29,2021_02_01_neurovascular_datasets,1,0,13,,flatten,10000.0,700,0.7161035889857449,0.5683543820678897,0.9527918037493366,16.11471524482913,2.9948243121819003,-0.4465554178371482
30,2021_02_01_neurovascular_datasets,1,0,13,,flatten,10000.0,700,0.7150242495979168,0.5688114706294903,0.9528641707457027,16.625391646702777,3.043690766033719,-0.48897121150924455
31,2021_02_01_neurovascular_datasets,1,0,13,,flatten,10000.0,700,0.7148875336698632,0.5691202328535643,0.9528991006092209,16.908620438376165,3.0706975122676403,-0.512767003296705
